column 1,column 2,column 3,column 4,column 5
2.355999146000000053e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.018518447999999665e+01,7.629657794676805906e+02
2.356859131999999875e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.019923400999999785e+01,7.639670468948036159e+02
2.360859070999999858e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.019759368999999793e+01,7.649683143219265276e+02
2.363999023000000079e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.017926787999999760e+01,7.659695817490494392e+02
2.364859010000000126e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.013125991999999798e+01,7.669708491761723508e+02
2.367998962000000063e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.020281600999999938e+01,7.679721166032953761e+02
2.368858949000000109e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.015638733000000116e+01,7.689733840304182877e+02
2.372844513000000006e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.017324828999999653e+01,7.699746514575411993e+02
2.375998840000000030e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.018976974000000268e+01,7.709759188846642246e+02
2.376858827000000076e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.017752837999999826e+01,7.719771863117871362e+02
2.379998779000000013e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.014470290999999946e+01,7.729784537389100478e+02
2.380858766000000060e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.006163406000000293e+01,7.739797211660329594e+02
2.384858705000000043e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.014225006000000207e+01,7.749809885931559847e+02
2.387998656999999980e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.014671325999999851e+01,7.759822560202788964e+02
2.388844268999999940e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.014299393000000293e+01,7.769835234474018080e+02
2.392804280999999946e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.013485717999999736e+01,7.779847908745247196e+02
2.396844146999999907e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.013945007000000231e+01,7.789860583016477449e+02
2.399998473999999931e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.009781265000000161e+01,7.799873257287706565e+02
2.400862461000000110e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.011124801999999789e+01,7.809885931558935681e+02
2.404862400000000093e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.012563705000000169e+01,7.819898605830164797e+02
2.408862339000000077e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.005579376000000025e+01,7.829911280101395050e+02
2.411998290999999881e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.009952926999999789e+01,7.839923954372624166e+02
2.412808044999999879e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.011107254000000211e+01,7.849936628643853282e+02
2.415998229999999865e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.009252930000000248e+01,7.859949302915082399e+02
2.416807983999999863e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.010822295999999909e+01,7.869961977186312652e+02
2.420843779999999867e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.011312103000000207e+01,7.879974651457541768e+02
2.423998108000000116e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.003768921000000347e+01,7.889987325728770884e+02
2.423998108000000116e+02,2.188000000000000114e+02,-9.300000000000000000e+01,4.004639052999999649e+01,7.900000000000000000e+02
